AREA (KM2)	VOLUME (HM3)	VOLUME (M3)	Afluência (m³/s)	Defluência (m³/s)
85.18441844	3340.485453	3340485453	458.78	56
86.10986908	3387.019831	3387019831	548.84	0
86.33381234	3398.291036	3398291036	617.91	484
86.00666134	3381.826713	3381826713	671.28	867
85.54340254	3358.527746	3358527746	696.42	972
85.03092329	3332.774198	3332774198	686.92	989
84.6735954	3314.830551	3314830551	773.54	985
85.56052599	3359.388629	3359388629	764.61	241
86.97363873	3430.516562	3430516562	890.86	48.5
88.08895345	3486.769787	3486769787	1186.76	515
89.28596159	3547.253291	3547253291	1410.46	685
89.94248908	3580.474306	3580474306	1312.83	906
90.5848146	3613.008671	3613008671	1297.83	902
91.33862489	3651.229671	3651229671	1308.4	840
92.91534149	3731.311614	3731311614	1321.89	333
94.47580628	3810.745695	3810745695	1190.63	197
94.8273336	3828.663749	3828663749	1087.26	864
94.8273336	3828.663749	3828663749	990	990
94.30964067	3802.278929	3802278929	891.53	1220
93.5188139	3762.010174	3762010174	787.34	1290
92.6420211	3717.416517	3717416517	702.01	1260
92.67842829	3719.267076	3719267076	750.69	728
93.40886969	3756.415372	3756415372	776.16	311
92.87886323	3729.456814	3729456814	751	1090
91.93426265	3681.460776	3681460776	728.8	1320
91.08682364	3638.457657	3638457657	676.9	1210
90.54903801	3611.195729	3611195729	599.4	931
89.67588519	3566.979846	3566979846	501.23	1040
88.75634278	3520.478362	3520478362	487.27	1050
88.6331123	3514.25158	3514251580	402.46	477
87.32100341	3448.025897	3448025897	374.17	1170
85.95509313	3379.232279	3379232279	335.93	1160
84.52080907	3307.161512	3307161512	331.46	1170
83.1385115	3237.868957	3237868957	318.47	1140
81.90608808	3176.230579	3176230579	295.69	1020
80.72055077	3117.06612	3117066120	279.8	982
80.52425676	3107.28246	3107282460	281.61	397
79.20890431	3041.815695	3041815695	281.87	1060
77.70335629	2967.085377	2967085377	256.94	1150
76.04795309	2885.174837	2885174837	224	1210
74.5739217	2812.474226	2812474226	229.33	1110
73.50208406	2759.75403	2759754030	238.33	880
73.79181816	2773.992951	2773992951	357.73	184
74.14373739	2791.300099	2791300099	323.3	113
73.25878512	2747.804182	2747804182	231.68	762
72.32192149	2701.849884	2701849884	278.97	838
71.30516288	2652.087437	2652087437	266.44	872
70.1379787	2595.108613	2595108613	272.24	958
69.0002744	2539.723005	2539723005	267.4	924
68.72534142	2526.362056	2526362056	313.67	472
69.01476837	2540.427624	2540427624	352.67	186
68.29298408	2505.369376	2505369376	416.26	832
67.43466466	2463.762952	2463762952	430.71	924
66.68354097	2427.428735	2427428735	463.33	894
66.27533786	2407.712924	2407712924	591.4	823
65.78529566	2384.072915	2384072915	595.72	875
66.55664658	2421.29756	2421297560	591	152
67.26402049	2455.502076	2455502076	532.94	129
67.64844714	2474.117318	2474117318	497.88	276
68.30736158	2506.067093	2506067093	609.24	231
68.76869477	2528.468294	2528468294	812.86	547
69.88877623	2582.963802	2582963802	846.36	204
69.97665087	2587.245511	2587245511	791.08	739
70.97861161	2636.130203	2636130203	767.28	177
71.93183438	2682.744366	2682744366	751.81	187
72.03669601	2687.878558	2687878558	675.38	613
71.64781009	2668.84431	2668844310	627.29	859
71.39442554	2656.451465	2656451465	668.5	820
71.29029424	2651.360602	2651360602	761.31	823
71.21598736	2647.728579	2647728579	925.6	969
71.32003394	2652.814416	2652814416	1058.76	998
71.63288572	2668.114169	2668114169	1103.92	917
71.76729242	2674.690626	2674690626	1130.21	1050
71.84204778	2678.349255	2678349255	1144.56	1100
72.02170848	2687.144669	2687144669	1226.94	1120
72.29185635	2700.376761	2700376761	1370.42	1210
73.1070421	2740.354452	2740354452	1615.42	1130
75.31589344	2849.040733	2849040733	1565.84	242
77.71925519	2967.873391	2967873391	1431.71	0
78.61362411	3012.241773	3012241773	1265.48	734
79.07990047	3035.403816	3035403816	1183.23	908
79.45122533	3053.864066	3053864066	1126.95	906
80.0026092	3081.29996	3081299960	1058.62	732
80.31202138	3096.708268	3096708268	971.52	789
80.18163003	3090.213866	3090213866	852.15	929
80.76968198	3119.515469	3119515469	790.41	444
80.72055077	3117.06612	3117066120	718.72	748
80.21421252	3091.836553	3091836553	637.48	945
79.56450454	3059.498299	3059498299	567.74	952
78.79023633	3021.012437	3021012437	505.09	964
77.89430953	2976.551438	2976551438	461.01	983
76.95894717	2930.217472	2930217472	424.49	990
76.18876281	2892.131447	2892131447	387.62	847
74.89783179	2828.430348	2828430348	359.4	1130
74.00587468	2784.518523	2784518523	364.62	899
73.28916314	2749.295874	2749295874	450.25	880
72.45733525	2708.486095	2708486095	464.98	971
71.84204778	2678.349255	2678349255	460.52	817
71.57321249	2665.195041	2665195041	508.58	669
71.96178269	2684.210556	2684210556	491.71	260
71.46887769	2660.092106	2660092106	406.9	701
70.94898314	2634.682986	2634682986	394.1	700
70.43204674	2609.449322	2609449322	364.18	668
69.78636491	2577.974941	2577974941	332.79	713
70.19671539	2597.972194	2597972194	421.32	180
70.69753092	2622.404761	2622404761	409.14	114
70.90455854	2632.513235	2632513235	384.53	263
70.80098562	2627.455493	2627455493	377.24	438
70.31430413	2603.706196	2603706196	407.54	694
69.6548657	2571.570919	2571570919	386.24	772
69.10178224	2544.658306	2544658306	406.33	723
68.552142	2517.949784	2517949784	367.33	684
68.75424128	2527.766073	2527766073	388.67	272
69.39244875	2558.797346	2558797346	378.67	12
69.15983918	2547.481587	2547481587	345.67	479
68.69645108	2524.958602	2524958602	320.33	587
68.29298408	2505.369376	2505369376	342.59	575
69.62566999	2570.149364	2570149364	798.91	41.5
69.87413885	2582.250681	2582250681	768.67	627
70.59419434	2617.361035	2617361035	582.03	148
71.39442554	2656.451465	2656451465	492.28	22.6
70.77141508	2626.011711	2626011711	397.81	772
70.12330053	2594.393074	2594393074	394.74	768
69.45069668	2561.631949	2561631949	339.08	737
68.49448489	2515.1502	2515150200	303	853
67.54861595	2469.281368	2469281368	282.05	817
67.61991215	2472.734919	2472734919	274.87	242
68.12063901	2497.007732	2497007732	287.73	0
67.23561275	2454.127216	2454127216	226.39	736
66.37368949	2412.461245	2412461245	225.68	717
65.38142192	2364.613421	2364613421	224.84	790
64.40085674	2317.458251	2317458251	182.2	741
63.40478085	2269.691306	2269691306	200.18	768
63.45904393	2272.289956	2272289956	234.02	203
63.59486178	2278.796055	2278796055	228.55	151
62.68924341	2235.463103	2235463103	188.71	707
61.86030395	2195.901704	2195901704	185.39	659
61.19813259	2164.371363	2164371363	195.72	575
61.54175871	2180.725599	2180725599	268.45	72.5
61.43586555	2175.683951	2175683951	316.47	377
61.94014345	2199.707739	2199707739	335	45.3
62.59521679	2230.970679	2230970679	394.21	19.9
63.1880943	2259.318334	2259318334	691.12	352
64.24997962	2310.214144	2310214144	810.32	205
65.53438526	2371.980986	2371980986	795.44	63.5
66.83889196	2434.937662	2434937662	816.01	74
67.61991215	2472.734919	2472734919	734.77	285
69.13080594	2546.069664	2546069664	868.87	0
70.69753092	2622.404761	2622404761	919.56	8.1
71.06755501	2640.475293	2640475293	670.01	453
71.34978331	2654.268805	2654268805	851.16	686
71.54339043	2663.73634	2663736340	677.86	562
71.40931113	2657.179306	2657179306	658.88	748
71.72246834	2672.497178	2672497178	926.15	739
75.59560699	2862.84073	2862840730	2999.5	676
88.15902314	3490.30722	3490307220	7451.39	0
97.52405471	3966.405011	3966405011	6905.97	1040
102.8750964	4241.138935	4241138935	5001.27	1650
107.0372743	4456.050528	4456050528	4258.31	1670
108.3636881	4524.7499	4524749900	4128.59	3300
108.1792946	4515.193621	4515193621	3804.37	3920
108.097418	4510.950938	4510950938	3789.07	3840
108.8359937	4549.236003	4549236003	3740.44	3260
108.609915	4537.513683	4537513683	3706.13	3850
108.2407328	4518.377471	4518377471	3685.28	3920
107.9542465	4503.532981	4503532981	3649.03	3840
107.7295521	4491.893504	4491893504	3562.69	3690
109.475035	4582.38598	4582385980	3519.24	2430
112.1646976	4722.154201	4722154201	3390.44	1660
114.625519	4850.365028	4850365028	3180.09	1600
116.9094822	4969.636883	4969636883	3009.54	1510
118.1516851	5034.614655	5034614655	2794.65	1970
119.3596604	5097.873467	5097873467	2663.01	1860
120.1331762	5138.417089	5138417089	2613.8	2080
119.3376149	5096.718374	5096718374	2996	3530
118.5240759	5054.108431	5054108431	3097	3640
120.0224446	5132.611396	5132611396	2952	1950
121.5349586	5211.962479	5211962479	2528.87	1510
123.2196676	5300.47129	5300471290	2177.96	1040
124.170699	5350.491748	5350491748	1908.56	1250
124.9445905	5391.22501	5391225010	1695.19	1160
125.3328847	5411.67254	5411672540	1497.59	1230
125.4930322	5420.107812	5420107812	1395.93	1270
125.4701446	5418.902212	5418902212	1274.26	1290
125.4015006	5415.286535	5415286535	1182.78	1230
125.3786255	5414.081683	5414081683	1094.26	1110
125.1500459	5402.043447	5402043447	1012.59	1170
124.8761614	5387.622225	5387622225	851.11	1040
124.3752031	5361.253111	5361253111	813.7	1160
124.329736	5358.860393	5358860393	761.52	793
125.1272051	5400.840651	5400840651	738.67	172
124.5344357	5369.633494	5369633494	610.74	1020
123.7171452	5326.631588	5326631588	553.33	1120
122.8137543	5279.13422	5279134220	499.05	1120
122.0273424	5237.817254	5237817254	496.41	1050
121.6020141	5215.48287	5215482870	530.15	807
121.4679307	5208.443748	5208443748	514	606
121.0886287	5188.535607	5188535607	435.12	696
120.4880313	5157.026142	5157026142	419.35	805
119.8896677	5125.650617	5125650617	385.84	801
119.0733073	5082.871527	5082871527	389.09	923
118.7874694	5067.900476	5067900476	754.03	945
118.8094387	5069.050999	5069050999	760	760
118.7215799	5064.450001	5064450001	638	696
